STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
42900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42900.00,38237,-15751,-29.175001852263467,3508042,12.57,334.65,197.15,143.38181818181818,2036125,93750,100,334.9,150,335.6,42559.55
43000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43000.00,364236,199588,121.22102910451387,6885631,15.11,18.15,-162.75,-89.96683250414593,5089575,1857225,1075,18.15,200,18.2,42559.55
43000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43000.00,74021,-63476,-46.16537088081922,4317314,13.91,428.15,244.7,133.38784409920962,3019500,138850,25,427.15,125,427.95,42559.55
43100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43100.00,208376,132075,173.0973381738116,4343203,16.5,14.1,-124.0,-89.79000724112962,2856275,736350,350,14.05,875,14.1,42559.55
43100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43100.00,21036,-11914,-36.15781487101669,1712094,14.85,522.7,281.70000000000005,116.88796680497929,1202125,40450,100,523.8,150,525.15,42559.55
43200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43200.00,216364,106981,97.8040463326111,3861760,17.97,11.6,-93.35,-88.94711767508338,3256425,970575,1775,11.6,725,11.65,42559.55
43200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43200.00,15340,-12102,-44.10028423584287,981444,16.59,622.0,313.5,101.62074554294976,901000,40950,25,620.5,25,622.2,42559.55
43300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43300.00,215717,65454,43.55962545669925,3334303,19.4,9.9,-68.85,-87.42857142857142,3589650,878800,10900,9.9,925,10.0,42559.55
43300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43300.00,14034,-9151,-39.46948458054777,515641,16.16,724.7,343.1,89.91090146750524,379100,30175,100,719.5,125,721.4,42559.55
43400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43400.00,172893,31614,22.37699870469072,2573088,20.95,8.85,-49.35,-84.79381443298969,3170975,832650,1825,8.8,1100,8.85,42559.55
